DATE,CLOTHES,PRODUCT
2020-01-01,59,2714
2020-01-02,58,2668
2020-01-03,53,2438
2020-01-04,59,2714
2020-01-05,67,3082
2020-01-06,60,2760
2020-01-07,59,2714
2020-01-08,57,2622
2020-01-09,55,2530
2020-01-10,49,2254
2020-01-11,53,2438
2020-01-12,64,2944
2020-01-13,59,2714
2020-01-14,57,2622
2020-01-15,55,2530
2020-01-16,53,2438
2020-01-17,49,2254
2020-01-18,53,2438
2020-01-19,61,2806
2020-01-20,53,2438
2020-01-21,48,2208
2020-01-22,44,2024
2020-01-23,39,1794
2020-01-24,40,1840
2020-01-25,40,1840
2020-01-26,49,2254
2020-01-27,61,2806
2020-01-28,55,2530
2020-01-29,56,2576
2020-01-30,54,2484
2020-01-31,47,2162
2020-02-01,55,2530
2020-02-02,61,2806
2020-02-03,54,2484
2020-02-04,55,2530
2020-02-05,54,2484
2020-02-06,51,2346
2020-02-07,48,2208
2020-02-08,55,2530
2020-02-09,64,2944
2020-02-10,58,2668
2020-02-11,59,2714
2020-02-12,60,2760
2020-02-13,58,2668
2020-02-14,55,2530
2020-02-15,60,2760
2020-02-16,68,3128
2020-02-17,61,2806
2020-02-18,58,2668
2020-02-19,55,2530
2020-02-20,52,2392
2020-02-21,46,2116
2020-02-22,51,2346
2020-02-23,55,2530
2020-02-24,47,2162
2020-02-25,51,2346
2020-02-26,51,2346
2020-02-27,51,2346
2020-02-28,49,2254
2020-02-29,55,2530
2020-03-01,65,2990
2020-03-02,54,2484
2020-03-03,56,2576
2020-03-04,57,2622
2020-03-05,54,2484
2020-03-06,51,2346
2020-03-07,59,2714
2020-03-08,67,3082
2020-03-09,61,2806
2020-03-10,62,2852
2020-03-11,60,2760
2020-03-12,57,2622
2020-03-13,53,2438
2020-03-14,58,2668
2020-03-15,68,3128
2020-03-16,59,2714
2020-03-17,57,2622
2020-03-18,59,2714
2020-03-19,56,2576
2020-03-20,53,2438
2020-03-21,60,2760
2020-03-22,69,3174
2020-03-23,63,2898
2020-03-24,62,2852
2020-03-25,61,2806
2020-03-26,60,2760
2020-03-27,54,2484
2020-03-28,59,2714
2020-03-29,65,2990
2020-03-30,60,2760
2020-03-31,60,2760
2020-04-01,65,2990
2020-04-02,63,2898
2020-04-03,56,2576
2020-04-04,62,2852
2020-04-05,70,3220
2020-04-06,65,2990
2020-04-07,65,2990
2020-04-08,64,2944
2020-04-09,61,2806
2020-04-10,55,2530
2020-04-11,62,2852
2020-04-12,72,3312
2020-04-13,63,2898
2020-04-14,59,2714
2020-04-15,68,3128
2020-04-16,60,2760
2020-04-17,56,2576
2020-04-18,61,2806
2020-04-19,75,3450
2020-04-20,63,2898
2020-04-21,62,2852
2020-04-22,61,2806
2020-04-23,56,2576
2020-04-24,51,2346
2020-04-25,58,2668
2020-04-26,70,3220
2020-04-27,62,2852
2020-04-28,59,2714
2020-04-29,53,2438
2020-04-30,59,2714
2020-05-01,62,2852
2020-05-02,65,2990
2020-05-03,75,3450
2020-05-04,68,3128
2020-05-05,79,3634
2020-05-06,72,3312
2020-05-07,66,3036
2020-05-08,59,2714
2020-05-09,64,2944
2020-05-10,69,3174
2020-05-11,66,3036
2020-05-12,65,2990
2020-05-13,64,2944
2020-05-14,60,2760
2020-05-15,55,2530
2020-05-16,60,2760
2020-05-17,72,3312
2020-05-18,70,3220
2020-05-19,64,2944
2020-05-20,61,2806
2020-05-21,59,2714
2020-05-22,53,2438
2020-05-23,58,2668
2020-05-24,69,3174
2020-05-25,63,2898
2020-05-26,63,2898
2020-05-27,62,2852
2020-05-28,58,2668
2020-05-29,54,2484
2020-05-30,59,2714
2020-05-31,70,3220
2020-06-01,66,3036
2020-06-02,65,2990
2020-06-03,65,2990
2020-06-04,64,2944
2020-06-05,58,2668
2020-06-06,64,2944
2020-06-07,73,3358
2020-06-08,69,3174
2020-06-09,70,3220
2020-06-10,71,3266
2020-06-11,66,3036
2020-06-12,60,2760
2020-06-13,66,3036
2020-06-14,75,3450
2020-06-15,67,3082
2020-06-16,66,3036
2020-06-17,63,2898
2020-06-18,60,2760
2020-06-19,53,2438
2020-06-20,57,2622
2020-06-21,67,3082
2020-06-22,62,2852
2020-06-23,60,2760
2020-06-24,60,2760
2020-06-25,54,2484
2020-06-26,49,2254
2020-06-27,53,2438
2020-06-28,62,2852
2020-06-29,57,2622
2020-06-30,54,2484
2020-07-01,56,2576
2020-07-02,54,2484
2020-07-03,49,2254
2020-07-04,52,2392
2020-07-05,59,2714
2020-07-06,56,2576
2020-07-07,56,2576
2020-07-08,56,2576
2020-07-09,52,2392
2020-07-10,45,2070
2020-07-11,51,2346
2020-07-12,60,2760
2020-07-13,55,2530
2020-07-14,54,2484
2020-07-15,52,2392
2020-07-16,48,2208
2020-07-17,45,2070
2020-07-18,49,2254
2020-07-19,56,2576
2020-07-20,52,2392
2020-07-21,51,2346
2020-07-22,52,2392
2020-07-23,50,2300
2020-07-24,43,1978
2020-07-25,49,2254
2020-07-26,56,2576
2020-07-27,51,2346
2020-07-28,51,2346
2020-07-29,51,2346
2020-07-30,47,2162
2020-07-31,42,1932
2020-08-01,49,2254
2020-08-02,55,2530
2020-08-03,49,2254
2020-08-04,50,2300
2020-08-05,52,2392
2020-08-06,50,2300
2020-08-07,45,2070
2020-08-08,49,2254
2020-08-09,55,2530
2020-08-10,49,2254
2020-08-11,49,2254
2020-08-12,47,2162
2020-08-13,43,1978
2020-08-14,39,1794
2020-08-15,43,1978
2020-08-16,46,2116
2020-08-17,50,2300
2020-08-18,46,2116
2020-08-19,45,2070
2020-08-20,44,2024
2020-08-21,41,1886
2020-08-22,44,2024
2020-08-23,48,2208
2020-08-24,43,1978
2020-08-25,44,2024
2020-08-26,45,2070
2020-08-27,44,2024
2020-08-28,40,1840
2020-08-29,45,2070
2020-08-30,50,2300
2020-08-31,44,2024
2020-09-01,46,2116
2020-09-02,48,2208
2020-09-03,45,2070
2020-09-04,44,2024
2020-09-05,52,2392
2020-09-06,63,2898
2020-09-07,62,2852
2020-09-08,58,2668
2020-09-09,47,2162
2020-09-10,70,3220
2020-09-11,53,2438
2020-09-12,61,2806
2020-09-13,69,3174
2020-09-14,61,2806
2020-09-15,58,2668
2020-09-16,59,2714
2020-09-17,58,2668
2020-09-18,53,2438
2020-09-19,58,2668
2020-09-20,69,3174
2020-09-21,65,2990
2020-09-22,65,2990
2020-09-23,66,3036
2020-09-24,59,2714
2020-09-25,53,2438
2020-09-26,59,2714
2020-09-27,68,3128
2020-09-28,54,2484
2020-09-29,46,2116
2020-09-30,49,2254
2020-10-01,50,2300
2020-10-02,60,2760
2020-10-03,69,3174
2020-10-04,84,3864
2020-10-05,81,3726
2020-10-06,81,3726
2020-10-07,75,3450
2020-10-08,66,3036
2020-10-09,70,3220
2020-10-10,73,3358
2020-10-11,83,3818
2020-10-12,74,3404
2020-10-13,77,3542
2020-10-14,79,3634
2020-10-15,79,3634
2020-10-16,74,3404
2020-10-17,76,3496
2020-10-18,88,4048
2020-10-19,81,3726
2020-10-20,76,3496
2020-10-21,78,3588
2020-10-22,74,3404
2020-10-23,74,3404
2020-10-24,85,3910
2020-10-25,98,4508
2020-10-26,86,3956
2020-10-27,82,3772
2020-10-28,78,3588
2020-10-29,77,3542
2020-10-30,67,3082
2020-10-31,73,3358
2020-11-01,99,4554
2020-11-02,85,3910
2020-11-03,97,4462
2020-11-04,100,4600
2020-11-05,89,4094
2020-11-06,76,3496
2020-11-07,81,3726
2020-11-08,100,4600
2020-11-09,94,4324
2020-11-10,89,4094
2020-11-11,84,3864
2020-11-12,80,3680
2020-11-13,70,3220
2020-11-14,76,3496
2020-11-15,90,4140
2020-11-16,79,3634
2020-11-17,75,3450
2020-11-18,73,3358
2020-11-19,70,3220
2020-11-20,69,3174
2020-11-21,75,3450
2020-11-22,92,4232
2020-11-23,84,3864
2020-11-24,81,3726
2020-11-25,78,3588
2020-11-26,74,3404
2020-11-27,70,3220
2020-11-28,81,3726
2020-11-29,95,4370
2020-11-30,85,3910
2020-12-01,85,3910
2020-12-02,81,3726
2020-12-03,78,3588
2020-12-04,72,3312
2020-12-05,79,3634
2020-12-06,87,4002
2020-12-07,76,3496
2020-12-08,75,3450
2020-12-09,75,3450
2020-12-10,71,3266
2020-12-11,65,2990
2020-12-12,71,3266
2020-12-13,83,3818
2020-12-14,78,3588
2020-12-15,78,3588
2020-12-16,77,3542
2020-12-17,69,3174
2020-12-18,61,2806
2020-12-19,68,3128
2020-12-20,75,3450
2020-12-21,64,2944
2020-12-22,58,2668
2020-12-23,53,2438
2020-12-24,44,2024
2020-12-25,52,2392
2020-12-26,56,2576
2020-12-27,62,2852
2020-12-28,52,2392
2020-12-29,52,2392
2020-12-30,53,2438
2020-12-31,44,2024
2021-01-01,52,2392
2021-01-02,52,2704
2021-01-03,57,2964
2021-01-04,49,2548
2021-01-05,48,2496
2021-01-06,49,2548
2021-01-07,50,2600
2021-01-08,47,2444
2021-01-09,53,2756
2021-01-10,60,3120
2021-01-11,50,2600
2021-01-12,48,2496
2021-01-13,46,2392
2021-01-14,43,2236
2021-01-15,40,2080
2021-01-16,47,2444
2021-01-17,54,2808
2021-01-18,47,2444
2021-01-19,44,2288
2021-01-20,43,2236
2021-01-21,42,2184
2021-01-22,39,2028
2021-01-23,46,2392
2021-01-24,52,2704
2021-01-25,44,2288
2021-01-26,45,2340
2021-01-27,43,2236
2021-01-28,42,2184
2021-01-29,38,1976
2021-01-30,44,2288
2021-01-31,51,2652
2021-02-01,45,2340
2021-02-02,44,2288
2021-02-03,43,2236
2021-02-04,41,2132
2021-02-05,38,1976
2021-02-06,44,2288
2021-02-07,52,2704
2021-02-08,41,2132
2021-02-09,38,1976
2021-02-10,35,1820
2021-02-11,39,2028
2021-02-12,41,2132
2021-02-13,50,2600
2021-02-14,61,3172
2021-02-15,51,2652
2021-02-16,49,2548
2021-02-17,47,2444
2021-02-18,44,2288
2021-02-19,41,2132
2021-02-20,50,2600
2021-02-21,61,3172
2021-02-22,53,2756
2021-02-23,50,2600
2021-02-24,47,2444
2021-02-25,46,2392
2021-02-26,42,2184
2021-02-27,52,2704
2021-02-28,60,3120
2021-03-01,67,3484
2021-03-02,49,2548
2021-03-03,49,2548
2021-03-04,50,2600
2021-03-05,46,2392
2021-03-06,59,3068
2021-03-07,70,3640
2021-03-08,57,2964
2021-03-09,56,2912
2021-03-10,56,2912
2021-03-11,55,2860
2021-03-12,51,2652
2021-03-13,59,3068
2021-03-14,72,3744
2021-03-15,61,3172
2021-03-16,60,3120
2021-03-17,60,3120
2021-03-18,57,2964
2021-03-19,51,2652
2021-03-20,62,3224
2021-03-21,70,3640
2021-03-22,57,2964
2021-03-23,56,2912
2021-03-24,55,2860
2021-03-25,53,2756
2021-03-26,49,2548
2021-03-27,60,3120
2021-03-28,68,3536
2021-03-29,58,3016
2021-03-30,57,2964
2021-03-31,55,2860
2021-04-01,54,2808
2021-04-02,49,2548
2021-04-03,61,3172
2021-04-04,67,3484
2021-04-05,56,2912
2021-04-06,55,2860
2021-04-07,55,2860
2021-04-08,51,2652
2021-04-09,46,2392
2021-04-10,53,2756
2021-04-11,62,3224
2021-04-12,54,2808
2021-04-13,50,2600
2021-04-14,48,2496
2021-04-15,46,2392
2021-04-16,44,2288
2021-04-17,50,2600
2021-04-18,57,2964
2021-04-19,51,2652
2021-04-20,54,2808
2021-04-21,56,2912
2021-04-22,55,2860
2021-04-23,49,2548
2021-04-24,56,2912
2021-04-25,66,3432
2021-04-26,56,2912
2021-04-27,54,2808
2021-04-28,53,2756
2021-04-29,51,2652
2021-04-30,45,2340
2021-05-01,53,2756
2021-05-02,59,3068
2021-05-03,50,2600
2021-05-04,48,2496
2021-05-05,56,2912
2021-05-06,51,2652
2021-05-07,46,2392
2021-05-08,51,2652
2021-05-09,60,3120
2021-05-10,54,2808
2021-05-11,54,2808
2021-05-12,55,2860
2021-05-13,55,2860
2021-05-14,53,2756
2021-05-15,60,3120
2021-05-16,69,3588
2021-05-17,56,2912
2021-05-18,53,2756
2021-05-19,62,3224
2021-05-20,55,2860
2021-05-21,48,2496
2021-05-22,54,2808
2021-05-23,62,3224
2021-05-24,54,2808
2021-05-25,53,2756
2021-05-26,53,2756
2021-05-27,49,2548
2021-05-28,46,2392
2021-05-29,51,2652
2021-05-30,58,3016
2021-05-31,53,2756
2021-06-01,55,2860
2021-06-02,58,3016
2021-06-03,54,2808
2021-06-04,47,2444
2021-06-05,53,2756
2021-06-06,63,3276
2021-06-07,58,3016
2021-06-08,58,3016
2021-06-09,58,3016
2021-06-10,54,2808
2021-06-11,50,2600
2021-06-12,55,2860
2021-06-13,64,3328
2021-06-14,58,3016
2021-06-15,56,2912
2021-06-16,57,2964
2021-06-17,53,2756
2021-06-18,48,2496
2021-06-19,53,2756
2021-06-20,61,3172
2021-06-21,56,2912
2021-06-22,56,2912
2021-06-23,54,2808
2021-06-24,52,2704
2021-06-25,48,2496
2021-06-26,52,2704
2021-06-27,61,3172
2021-06-28,54,2808
2021-06-29,54,2808
2021-06-30,52,2704
2021-07-01,53,2756
2021-07-02,48,2496
2021-07-03,55,2860
2021-07-04,59,3068
2021-07-05,53,2756
2021-07-06,53,2756
2021-07-07,52,2704
2021-07-08,50,2600
2021-07-09,44,2288
2021-07-10,50,2600
2021-07-11,58,3016
2021-07-12,53,2756
2021-07-13,55,2860
2021-07-14,54,2808
2021-07-15,52,2704
2021-07-16,47,2444
2021-07-17,51,2652
2021-07-18,57,2964
2021-07-19,50,2600
2021-07-20,50,2600
2021-07-21,51,2652
2021-07-22,50,2600
2021-07-23,45,2340
2021-07-24,47,2444
2021-07-25,52,2704
2021-07-26,46,2392
2021-07-27,46,2392
2021-07-28,45,2340
2021-07-29,44,2288
2021-07-30,39,2028
2021-07-31,42,2184
2021-08-01,46,2392
2021-08-02,41,2132
2021-08-03,42,2184
2021-08-04,42,2184
2021-08-05,41,2132
2021-08-06,37,1924
2021-08-07,39,2028
2021-08-08,44,2288
2021-08-09,39,2028
2021-08-10,39,2028
2021-08-11,38,1976
2021-08-12,36,1872
2021-08-13,34,1768
2021-08-14,37,1924
2021-08-15,39,2028
2021-08-16,41,2132
2021-08-17,38,1976
2021-08-18,39,2028
2021-08-19,38,1976
2021-08-20,35,1820
2021-08-21,42,2184
2021-08-22,45,2340
2021-08-23,44,2288
2021-08-24,43,2236
2021-08-25,44,2288
2021-08-26,42,2184
2021-08-27,41,2132
2021-08-28,44,2288
2021-08-29,51,2652
2021-08-30,45,2340
2021-08-31,47,2444
2021-09-01,48,2496
2021-09-02,46,2392
2021-09-03,43,2236
2021-09-04,48,2496
2021-09-05,57,2964
2021-09-06,51,2652
2021-09-07,53,2756
2021-09-08,49,2548
2021-09-09,48,2496
2021-09-10,44,2288
2021-09-11,49,2548
2021-09-12,57,2964
2021-09-13,50,2600
2021-09-14,50,2600
2021-09-15,47,2444
2021-09-16,44,2288
2021-09-17,41,2132
2021-09-18,45,2340
2021-09-19,47,2444
2021-09-20,44,2288
2021-09-21,47,2444
2021-09-22,60,3120
2021-09-23,58,3016
2021-09-24,54,2808
2021-09-25,62,3224
2021-09-26,70,3640
2021-09-27,62,3224
2021-09-28,60,3120
2021-09-29,59,3068
2021-09-30,54,2808
2021-10-01,51,2652
2021-10-02,57,2964
2021-10-03,62,3224
2021-10-04,69,3588
2021-10-05,58,3016
2021-10-06,58,3016
2021-10-07,57,2964
2021-10-08,53,2756
2021-10-09,56,2912
2021-10-10,65,3380
2021-10-11,75,3900
2021-10-12,70,3640
2021-10-13,66,3432
2021-10-14,64,3328
2021-10-15,59,3068
2021-10-16,77,4004
2021-10-17,100,5200
2021-10-18,94,4888
2021-10-19,87,4524
2021-10-20,86,4472
2021-10-21,82,4264
2021-10-22,74,3848
2021-10-23,79,4108
2021-10-24,92,4784
2021-10-25,81,4212
2021-10-26,78,4056
2021-10-27,73,3796
2021-10-28,70,3640
2021-10-29,63,3276
2021-10-30,70,3640
2021-10-31,80,4160
2021-11-01,74,3848
2021-11-02,74,3848
2021-11-03,73,3796
2021-11-04,70,3640
2021-11-05,62,3224
2021-11-06,69,3588
2021-11-07,82,4264
2021-11-08,83,4316
2021-11-09,87,4524
2021-11-10,88,4576
2021-11-11,84,4368
2021-11-12,74,3848
2021-11-13,73,3796
2021-11-14,81,4212
2021-11-15,72,3744
2021-11-16,70,3640
2021-11-17,67,3484
2021-11-18,65,3380
2021-11-19,66,3432
2021-11-20,71,3692
2021-11-21,84,4368
2021-11-22,85,4420
2021-11-23,89,4628
2021-11-24,82,4264
2021-11-25,73,3796
2021-11-26,65,3380
2021-11-27,72,3744
2021-11-28,88,4576
2021-11-29,78,4056
2021-11-30,79,4108
2021-12-01,86,4472
